"aves" "long" "lat"
"Psophia" -77.524872 -1.056645
"Psophia" -72.888266 -3.27134
"Psophia" -77.41986 -0.52347
"Psophia" -58.910065 4.245758
"Psophia" -76.019579 -0.540886
"Psophia" -58.684444 4.671667
"Psophia" -58.849167 4.347222
"Psophia" -76.280336 -0.439735
"Psophia" -76.439266 -0.524933
"Psophia" -70.167832 1.209865
"Psophia" -55.922843 -9.60079
"Psophia" -55.170711 4.943371
"Psophia" -56.187944 4.682522
"Psophia" -71.240158 -12.632298
"Psophia" -77.7 -1.03
"Psophia" -59.05838 4.093726
"Psophia" -59.0625 4.186182
"Psophia" -69.612012 -13.144832
"Psophia" -70.100841 -12.566292
"Psophia" -69.585895 -1.31805
"Psophia" -69.299899 -12.802443
"Psophia" -77.578282 -3.45208
"Psophia" -71.40837 -11.885793
"Psophia" -69.516463 -12.069893
"Psophia" -60.05069 -1.979081
"Psophia" -60.987296 1.481187
"Psophia" -51.952243 0.776057
"Psophia" -69.409175 -12.875066
"Psophia" -59.973378 -2.364356
"Psophia" -59.770213 -2.448906
"Psophia" -70.715475 -12.404724
"Psophia" -70.707343 -9.860205
"Psophia" -60.065129 -2.479666
"Psophia" -59.631514 -2.456891
"Psophia" -70.909554 -12.264224
"Psophia" -56.315282 -4.55672
"Psophia" -71.231339 -12.001963
"Psophia" -50.563545 -6.044285
"Psophia" -65.040227 -9.565401
"Psophia" -50.303867 -6.161499
"Psophia" -51.455423 -1.737406
"Psophia" -71.38092 -12.866364
"Psophia" -59.559202 3.771763
"Psophia" -76.150079 -0.637839
"Psophia" -59.095352 3.706457
"Psophia" -61.066496 5.48567
"Psophia" -50.091605 -6.042834
"Psophia" -69.321428 -12.96351
"Psophia" -76.130104 -0.094757
"Psophia" -70.152833 -3.391333
"Psophia" -59.837617 5.303633
"Psophia" -59.957714 5.710622
"Psophia" -76.184349 -0.010643
"Psophia" -71.721348 -12.068576
"Psophia" -60.113819 -2.58563
"Psophia" -67.448418 -3.213895
"Psophia" -76.731646 -1.104746
"Psophia" -67.617172 5.387708
"Psophia" -75.589843 -0.829739
"Psophia" -73.190371 -4.332938
"Psophia" -73.91 -6.265
"Psophia" -58.74012 5.153863
"Psophia" -70.082645 1.119092
"Psophia" -69.38498 -11.268
"Psophia" -73.12221 -10.68744
"Psophia" -73.22325 -10.70044
"Psophia" -69.676755 -12.046987
"Psophia" -75.277462 -0.476401
"Psophia" -69.601071 -12.998369
"Psophia" -63.796257 -17.604975
"Psophia" -74.287491 -4.38041
"Psophia" -70.980391 -12.223495
"Psophia" -70.19826 -12.58581
"Psophia" -68.977833 -12.524334
"Psophia" -59.695889 -5.280333
"Psophia" -60.052246 -3.622145
"Psophia" -59.718167 -5.536139
"Psophia" -69.636841 -13.277373
"Psophia" -69.745056 -12.716343
"Psophia" -71.023865 -12.17373
"Psophia" -58.893291 4.474991
"Psophia" -73.7194 -1.6791
"Psophia" -68.82336 -12.46848
"Psophia" -76.397401 -0.674528
"Psophia" -48.491944 -3.7475
"Psophia" -73.706932 -10.399565
"Psophia" -71.119308 -12.431883
"Psophia" -58.257923 -7.502835
"Psophia" -69.328108 -12.234109
"Psophia" -69.442863 -12.786511
"Psophia" -77.54425 -4.245073
"Psophia" -69.184484 -11.276725
"Psophia" -68.918996 -12.956739
"Psophia" -67.508707 -14.652709
"Psophia" -53.20816 3.6229
"Psophia" -73.62333 -11.40528
"Psophia" -73.5705 -11.26593
"Psophia" -63.413086 -3.908099
"Psophia" -68.711586 -12.680117
"Psophia" -61.007423 -8.598136
"Psophia" -67.80484 -14.50161
"Psophia" -67.94141 -14.35832
"Psophia" -56.359863 -9.492408
"Psophia" -75.99721 -2.85345
"Psophia" -75.421309 -10.993051
"Psophia" -70.521111 -2.718056
"Psophia" -71.485833 -2.610556
"Psophia" -70.899167 -3.198889
"Psophia" -58.987678 4.519868
"Psophia" -71.085234 -12.120061
"Psophia" -73.018611 -2.885278
"Psophia" -72.916944 -2.792778
"Psophia" -66.379977 4.998369
"Psophia" -61.642891 8.044884
"Psophia" -69.199818 -12.436684
"Psophia" -69.68557 -10.59627
"Psophia" -69.238586 -11.050386
"Psophia" -69.201508 -12.603921
"Psophia" -76.72 -1.21
"Psophia" -56.1667 3.9024
"Psophia" -56.189575 4.051947
"Psophia" -51.6 -1.95
"Psophia" -52.313933 4.922332
"Psophia" -67.86444 4.609167
"Psophia" -62.915611 9.915843
"Psophia" -65.879167 -1.73
"Psophia" -67.28658 -5.43862
"Psophia" -70.300902 -3.772994
"Psophia" -61.605835 -1.466011
"Psophia" -76.128945 -0.398509
"Psophia" -56.307421 -9.916604
"Psophia" -58.59 2.97
"Psophia" -55.206985 5.449908
"Psophia" -58.346629 6.569695
"Psophia" -58.579102 6.492712
"Psophia" -77.39719 -1.03572
"Psophia" -68.851 -14.072
"Psophia" -74.188889 -9.375
"Psophia" -74.265278 -8.905556
"Psophia" -56.060333 -9.865673
"Psophia" -70.175 -11.1
"Psophia" -54.738 4.27
"Psophia" -69.7333 -1.01667
"Psophia" -63.17 -0.78
"Psophia" -54.589 4.82
"Psophia" -63.27 -0.78
"Psophia" -73.790278 -10.396667
"Psophia" -71.476493 -11.8109
"Psophia" -76.566467 -0.431942
"Psophia" -59.322739 3.273174
"Psophia" -75.8893 -0.407295
"Psophia" -75.686874 -0.617969
"Psophia" -54.104565 -12.144103
"Psophia" -67.716667 -14.55
"Psophia" -72.42372 0.213111
"Psophia" -50.858674 -2.425023
"Psophia" -58.812 3.192
"Psophia" -70.564842 -12.430296
"Psophia" -72.62334 0.179722
"Psophia" -68.353056 -13.753056
"Psophia" -76.859364 -2.54166
"Psophia" -64.861135 7.25137
"Psophia" -76.3308 -1.06721
"Psophia" -54.947222 -3.355
"Psophia" -67.116667 -15.1
"Psophia" -72.746444 -9.426455
"Psophia" -58.95 1.35
"Psophia" -61.911221 8.037983
"Psophia" -68.733 -13.633
"Psophia" -68.506 -13.591
"Psophia" -122.350273 47.66822
"Psophia" -74.03778 2.742222
"Psophia" -75.73333 -7.15
"Psophia" -68.7 -12.517
"Psophia" -71.152954 -12.033948
"Psophia" -59.506 3.381
"Psophia" -76.116667 -2.566667
"Psophia" -75.495987 -0.611789
"Psophia" -66.2776 4.8931
"Psophia" -69.083 -13
"Psophia" -69.683 -13.503
"Psophia" -66.85 -10.667
"Psophia" -65.7 -9.867
"Psophia" -64.3801 6.3922
"Psophia" -61.008 -13.535
"Psophia" -66 3.5
"Psophia" -58.579102 6.151137
"Psophia" -77.3 -11.92
"Psophia" -59.5 -1.983333
"Psophia" -118.287821 34.148394
"Psophia" -66.166944 0.833611
"Psophia" -69.5 -5.5
"Psophia" -61.599892 3.402958
"Psophia" -76.63 -0.38
"Psophia" -67.45966 -15.42228
"Psophia" -72.849666 -3.442668
"Psophia" -73.6142 2.91925
"Psophia" -64.27 7.6
"Psophia" -58.249996 5.329591
"Psophia" -56.575 5.5083
"Psophia" -56.7417 5.3417
"Psophia" -57.0917 5.2583
"Psophia" -59.840641 3.129675
"Psophia" -64.883333 7.633333
"Psophia" -83.143127 42.474834
"Psophia" -55.8083 2.9917
"Psophia" -56.0416 2.1083
"Psophia" -60.72 2.85
"Psophia" -73.33339 2.94818
"Psophia" -55.0917 5.325
"Psophia" -70.6333 -13.2667
"Psophia" -48.4833 -1.45
"Psophia" -80.2 25.766667
"Psophia" -117.152174422641 32.7357092780074
"Psophia" -74.5 -7
"Psophia" -75.26667 0.71666
"Psophia" -63.508186 -17.454736
"Psophia" -49.5 -2.25
"Psophia" -74.990627 -9.19397
"Psophia" -77.307358 -0.689719
"Psophia" 6.1583 -58.925
"Psophia" -60.0083 -3.125
"Psophia" -77 1.1333
"Psophia" -63.45 -8.75
"Psophia" -53.28 -12.23
"Psophia" -74.04 3.38
"Psophia" -76.820373 6.10362
"Psophia" -72.398646 -0.59937
"Psophia" -55.03 5.19
"Psophia" -53.48 -1.8
"Psophia" -59.92 -3.13
"Psophia" -55.1917 5.725
"Psophia" -54.8417 5.8417
"Psophia" -74.4047 0.7758
"Psophia" -58.25 -3.3
"Psophia" -72.5666 2.562833
"Psophia" -53.4 -12
"Psophia" -62.78 -3.13
"Psophia" -51.87 -27.82
"Psophia" -58.05 -7.2
"Psophia" -56.28 -4.42
"Psophia" -55.3917 3.3417
"Psophia" -55.13 -2.83
"Psophia" -57.22 -8.97
