"alt","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
194,266,269,260,1697,264,4,70,751,29,250,65,127,74,364,350,180,170,266,261
261,256,262,250,2314,387,11,70,1051,49,321,110,132,67,558,354,159,195,252,251
194,266,269,260,1697,264,4,70,751,29,250,65,127,74,364,350,180,170,266,261
194,266,269,260,1697,264,4,70,751,29,250,65,127,74,364,350,180,170,266,261
194,266,269,260,1697,264,4,70,751,29,250,65,127,74,364,350,180,170,266,261
253,261,264,256,1691,265,5,70,737,31,260,65,129,75,345,346,175,171,260,257
223,266,269,258,1782,290,3,72,814,29,449,60,127,74,446,349,179,170,267,260
223,266,269,258,1782,290,3,72,814,29,449,60,127,74,446,349,179,170,267,260
194,265,269,260,1626,258,4,70,717,29,242,66,127,74,371,350,180,170,264,261
194,266,269,260,1697,264,4,70,751,29,250,65,127,74,364,350,180,170,266,261
192,263,268,258,2213,313,45,51,902,185,294,902,100,72,404,332,195,137,258,262
293,250,253,247,1990,279,20,55,811,117,341,761,121,80,263,325,175,150,248,249
183,264,267,261,1706,372,13,88,985,61,92,924,107,82,264,329,200,129,262,265
223,266,269,258,1782,290,3,72,814,29,449,60,127,74,446,349,179,170,267,260
194,266,269,260,1697,264,4,70,751,29,250,65,127,74,364,350,180,170,266,261
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
226,263,266,258,1647,262,5,69,721,31,247,69,128,75,320,347,178,169,262,260
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
101,266,271,263,1617,359,25,85,907,85,128,869,103,85,325,328,208,120,264,267
199,265,268,259,1644,260,4,70,724,28,247,64,128,75,364,349,179,170,264,260
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
180,260,264,256,1843,293,13,67,790,50,274,781,125,77,300,342,180,162,256,260
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
165,264,267,261,1631,368,14,90,948,61,137,898,106,84,273,328,202,126,262,265
199,265,268,259,1644,260,4,70,724,28,247,64,128,75,364,349,179,170,264,260
199,265,268,259,1644,260,4,70,724,28,247,64,128,75,364,349,179,170,264,260
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
179,261,265,256,1841,292,12,67,801,51,270,782,122,76,330,341,182,159,257,261
328,253,258,248,2001,315,7,70,913,36,516,66,134,74,431,344,163,181,253,248
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
222,264,267,258,1733,274,4,71,773,30,260,62,128,74,390,349,177,172,263,259
226,263,266,258,1647,262,5,69,721,31,247,69,128,75,320,347,178,169,262,260
206,265,268,259,1708,265,4,70,755,30,254,64,128,75,395,349,179,170,265,260
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
226,263,266,258,1647,262,5,69,721,31,247,69,128,75,320,347,178,169,262,260
101,266,271,263,1617,359,25,85,907,85,128,869,103,85,325,328,208,120,264,267
198,261,266,258,1808,290,8,69,787,39,264,84,128,75,328,347,177,170,259,260
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
209,260,264,257,1672,283,7,69,740,36,242,697,128,75,308,345,176,169,257,259
